1966,450,2172,359,2187.9065170926897,359,
1953,448,2175,358,2189.944727175781,358,
1946,448,2175,358,2189.944727175781,358,
1946,448,2165,359,2183.1543196403186,359,
1946,448,2146,359,2170.280920013042,359,
1941,448,2137,359,2164.1958594213465,359,
1924,448,2136,359,2163.5202487508673,359,
1914,446,2128,359,2158.119000064132,359,
1913,445,2121,360,2153.3981916055623,360,
1913,445,2111,361,2146.662686016197,361,
1913,445,2101,362,2139.9371263476764,362,
1913,445,2086,363,2129.8672862043586,363,
1913,444,2048,364,2104.454948568039,364,
1907,428,2027,364,2090.47050805991,364,
1896,410,2011,364,2079.843502112627,364,
1890,405,2013,363,2081.1705734214174,363,
1889,405,1987,360,2063.947446042136,360,
1889,405,1941,358,2033.6261324593934,358,
1889,405,1893,355,2002.185638128437,355,
1875,402,1874,349,1989.795134053837,349,
1862,402,1867,344,1985.2378931889223,344,
1854,402,1853,336,1976.1357016385523,336,
1853,403,1835,331,1964.4567376446532,331,
1853,403,1820,328,1954.7445355795946,328,
1853,403,1810,324,1948.279864442706,324,
1847,406,1808,322,1946.9878963620374,322,
1833,418,1806,321,1945.6962492359391,321,
1823,426,1793,320,1937.308333911584,320,
1815,441,1778,320,1927.6466285469955,320,
1810,448,1733,321,1898.766711459497,321,
1809,448,1688,324,1870.040577921733,324,
1809,448,1683,324,1866.8580572612693,324,
1808,448,1678,325,1863.6773657720175,325,
1803,462,1674,325,1861.1341249997536,325,
1794,485,1656,327,1849.7038813207052,327,
1789,505,1645,330,1842.7301890948925,330,
1787,516,1634,334,1835.7651015041597,334,
1787,517,1631,338,1833.867016185927,338,
1787,517,1615,346,1823.7545553307336,346,
1787,517,1606,353,1818.0741311071097,353,
1787,517,1576,369,1799.1795643259575,369,
1783,523,1568,377,1794.1513297446127,377,
1774,542,1555,391,1785.9895937450203,391,
1765,557,1546,399,1780.3457434295588,399,
1764,558,1542,408,1777.8390827630778,408,
1764,558,1525,415,1767.1974745150408,415,
1764,558,1520,420,1764.0711707363598,420,
1754,563,1520,423,1764.0711707363598,423,
1737,571,1517,428,1762.1961647825021,428,
1729,577,1517,431,1762.1961647825021,431,
1729,578,1511,437,1758.4478933135254,437,
1729,578,1507,445,1755.9503305825729,445,
1729,578,1514,455,1760.3217394217659,455,
1718,616,1513,466,1759.6970597570999,466,
1706,666,1498,476,1750.3345544957842,476,
1704,672,1479,480,1738.4958937681104,480,
1704,672,1450,486,1720.4698466259708,486,
1704,672,1433,509,1709.9268756830904,509,
1702,674,1426,531,1705.5907423617216,531,
1691,676,1427,546,1706.2100092815015,546,
1669,682,1434,558,1710.5465646711423,558,
1662,683,1433,565,1709.9268756830904,565,
1662,683,1434,575,1710.5465646711423,575,
1662,683,1426,579,1705.5907423617216,579,
1662,683,1411,581,1696.308925063887,581,
1650,683,1396,581,1687.0404736641003,581,
1630,680,1393,581,1685.1883734657285,581,
1613,675,1380,579,1677.1686810134815,579,
1608,672,1358,576,1663.6191595721718,576,
1608,672,1319,573,1639.667015781052,573,
1608,672,1286,569,1619.4655341025784,569,
1590,669,1285,568,1618.8542901985486,568,
1570,664,1271,567,1610.3024986518062,567,
1565,659,1267,568,1607.8610477502536,568,
1564,658,1254,568,1599.9321709635735,568,
1564,658,1243,567,1593.2300436304408,567,
1562,658,1204,561,1569.51822404051,561,
1542,650,1187,557,1559.2064018444885,557,
1514,643,1173,551,1550.725091472126,551,
1504,642,1150,547,1536.8123350475005,547,
1504,642,1138,541,1529.5636461279898,541,
1504,642,1147,537,1534.9995155822357,537,
1503,642,1141,535,1531.3751721912945,535,
1488,634,1130,534,1524.7350044031025,534,
1484,624,1117,535,1516.8949162514878,535,
1484,599,1104,536,1509.0627447967802,536,
1484,585,1086,538,1498.2311108501867,538,
1483,583,1058,539,1481.4112198187377,539,
1483,583,1057,540,1480.8111609092543,540,
1483,582,1059,539,1482.0113233195184,539,
1484,560,1049,536,1476.0122904314958,536,
1489,541,1052,533,1477.8115339214862,533,
